cleaning_status,platinum_prompt,platinum_prompt_no_cot,platinum_target,original_target,platinum_parsing_strategy,ID,Body,Question,Equation,Answer,Type,question_concat,bodmas_question,elog_question,trigno_question
consensus,"Solve the following math word problem.

An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute.
How many minutes did the machine work yesterday?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute.
How many minutes did the machine work yesterday?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['3'],['3'],math,chal-239,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute.,How many minutes did the machine work yesterday?,( 9.0 / 3.0 ),3,Common-Division,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,An industrial machine made 9 shirts yesterday and (43+(0.5*2))  shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,An industrial machine made 9 shirts yesterday and LOG(EXPONENTIAL(44))  shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,An industrial machine made 9 shirts yesterday and (43+(cos^2(15) + sin^2(15)))  shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?
consensus,"Solve the following math word problem.

Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves
How many magazines does he have in total?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves
How many magazines does he have in total?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['460'],['460'],math,chal-206,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves,How many magazines does he have in total?,( 46.0 * 10.0 ),460,Multiplication,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,Bryan took a look at his books and magazines. If he has 9 books and (47-(7/7))  magazines in each of his 10 bookshelves How many magazines does he have in total?,Bryan took a look at his books and magazines. If he has 9 books and LOG(EXPONENTIAL(46))  magazines in each of his 10 bookshelves How many magazines does he have in total?,Bryan took a look at his books and magazines. If he has 9 books and (46.0*(cosec^2(98) - cot^2(98)))  magazines in each of his 10 bookshelves How many magazines does he have in total?
consensus,"Solve the following math word problem.

Dave had 17 apps on his phone. After adding some he had 18 left.
How many apps did he add?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Dave had 17 apps on his phone. After adding some he had 18 left.
How many apps did he add?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['1'],['1'],math,chal-955,Dave had 17 apps on his phone. After adding some he had 18 left.,How many apps did he add?,( 18.0 - 17.0 ),1,Subtraction,Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,Dave had 17 apps on his phone. After adding some he had (17+(19/19))  left. How many apps did he add?,Dave had 17 apps on his phone. After adding some he had EXPONENTIAL(LOG(18))  left. How many apps did he add?,Dave had 17 apps on his phone. After adding some he had (19-(sec^2(25)-tan^2(25)))  left. How many apps did he add?
verified,"Solve the following math word problem.

Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6.
How much money did he spend buying the candy bar and chocolate?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6.
How much money did he spend buying the candy bar and chocolate?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['13'],['13'],math,chal-666,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6.,How much money did he spend buying the candy bar and chocolate?,( 7.0 + 6.0 ),13,Addition,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,Dan has $ 4. He bought a candy bar for $ (7/(54/54))  and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,Dan has $ 4. He bought a candy bar for $ EXPONENTIAL(LOG(7))  and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,Dan has $ 4. He bought a candy bar for $ (7.0*(cosec^2(2) - cot^2(2)))  and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?
consensus,"Solve the following math word problem.

The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection
How big is each group?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection
How big is each group?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['2'],['2'],math,chal-868,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection,How big is each group?,( 392.0 / 196.0 ),2,Common-Division,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The bananas in Philip's collection are organized into (196.0*(0.5*2))  groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The bananas in Philip's collection are organized into LOG(EXPONENTIAL(196))  groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,The bananas in Philip's collection are organized into (195+(cosec^2(13) - cot^2(13)))  groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?
consensus,"Solve the following math word problem.

The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17
How much farther until they reach the end of the cave?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17
How much farther until they reach the end of the cave?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['369'],['369'],math,chal-644,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17,How much farther until they reach the end of the cave?,( 1218.0 - 849.0 ),369,Subtraction,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The cave is (1218/(60/60))  feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The cave is LOG(EXPONENTIAL(1218))  feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,The cave is (1218.0*(cosec^2(98) - cot^2(98)))  feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?
consensus,"Solve the following math word problem.

The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time
How many people can each seat hold?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time
How many people can each seat hold?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['5'],['5'],math,chal-792,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time,How many people can each seat hold?,( 20.0 / 4.0 ),5,Common-Division,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,The Ferris wheel in paradise park has (3+(0.5*2))  seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,The Ferris wheel in paradise park has LOG(EXPONENTIAL(4))  seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,The Ferris wheel in paradise park has (3+(cosec^2(20) - cot^2(20)))  seats. If 20 people can ride the wheel at the same time How many people can each seat hold?
verified,"Solve the following math word problem.

A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes
How many tomatoes and potatoes does he have left?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes
How many tomatoes and potatoes does he have left?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['136'],['136'],math,chal-891,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes,How many tomatoes and potatoes does he have left?,( ( 177.0 + 12.0 ) - 53.0 ),136,Subtraction,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked (54-(0.5*2))  tomatoes How many tomatoes and potatoes does he have left?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked LOG(EXPONENTIAL(53))  tomatoes How many tomatoes and potatoes does he have left?,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked (53/(cos^2(43) + sin^2(43)))  tomatoes How many tomatoes and potatoes does he have left?
consensus,"Solve the following math word problem.

Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection.
How many bottle caps did danny have at first?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection.
How many bottle caps did danny have at first?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['91'],['91'],math,chal-655,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection.,How many bottle caps did danny have at first?,( 66.0 + 25.0 ),91,Addition,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,Danny collects bottle caps. He lost (67-(2/2))  bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,Danny collects bottle caps. He lost LOG(EXPONENTIAL(66))  bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,Danny collects bottle caps. He lost (66.0*(cosec^2(16) - cot^2(16)))  bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?
consensus,"Solve the following math word problem.

Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening.
How many emails did Jack receive in the afternoon and evening?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening.
How many emails did Jack receive in the afternoon and evening?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['13'],['13'],math,chal-47,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening.",How many emails did Jack receive in the afternoon and evening?,( 5.0 + 8.0 ),13,Addition,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?","Jack received (4/(33/33))  emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?","Jack received EXPONENTIAL(LOG(4))  emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?","Jack received (4.0*(cosec^2(30) - cot^2(30)))  emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?"
consensus,"Solve the following math word problem.

Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies.
How many sweet cookies did Paco have left?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies.
How many sweet cookies did Paco have left?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['7'],['7'],math,chal-430,Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies.,How many sweet cookies did Paco have left?,( 22.0 - 15.0 ),7,Subtraction,Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,Paco had 22 sweet cookies and 75 salty cookies. He ate (14+(42/42))  sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,Paco had 22 sweet cookies and 75 salty cookies. He ate LOG(EXPONENTIAL(15))  sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,Paco had 22 sweet cookies and 75 salty cookies. He ate (14+(sec^2(49)-tan^2(49)))  sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?
consensus,"Solve the following math word problem.

The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars.
How much did they make per day?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars.
How much did they make per day?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['33'],['33'],math,chal-939,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars.,How much did they make per day?,( 165.0 / 5.0 ),33,Common-Division,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned (165.0*(34/34))  dollars. How much did they make per day?,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned LOG(EXPONENTIAL(165))  dollars. How much did they make per day?,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned (165.0*(cos^2(6) + sin^2(6)))  dollars. How much did they make per day?
consensus,"Solve the following math word problem.

Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left.
How many files did he delete?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left.
How many files did he delete?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['3'],['3'],math,chal-66,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left.,How many files did he delete?,( 24.0 - 21.0 ),3,Subtraction,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,Dave had 24 files and (13.0*(0.5*2))  apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,Dave had 24 files and EXPONENTIAL(LOG(13))  apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,Dave had 24 files and (12+(sec^2(23)-tan^2(23)))  apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?
