cleaning_status,platinum_prompt,platinum_prompt_no_cot,platinum_target,original_target,platinum_parsing_strategy,input,output_program,output_answer,split,dataset,bodmas_question,elog_question,trigno_question
consensus,"Solve the following math word problem.

Brenda’s mother made cookies for 5. If she prepared 35 cookies and each of them had the same number of cookies, how many did each of them have?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Brenda’s mother made cookies for 5. If she prepared 35 cookies and each of them had the same number of cookies, how many did each of them have?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['7'],['7'],math,"Brenda’s mother made cookies for 5. If she prepared 35 cookies and each of them had the same number of cookies, how many did each of them have?","from sympy import symbols, solve
x = symbols(""x"")
answer = solve(5*x-35)
print(answer)",7,test,singleq,"Brenda’s mother made cookies for 5. If she prepared (35/(49/49))  cookies and each of them had the same number of cookies, how many did each of them have?","Brenda’s mother made cookies for 5. If she prepared EXPONENTIAL(LOG(35))  cookies and each of them had the same number of cookies, how many did each of them have?","Brenda’s mother made cookies for 5. If she prepared (36-(sec^2(40)-tan^2(40)))  cookies and each of them had the same number of cookies, how many did each of them have?"
consensus,"Solve the following math word problem.

Joan's cat had 8 kittens. She gave 2 to her friends.  How many kittens does she have now ?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Joan's cat had 8 kittens. She gave 2 to her friends.  How many kittens does she have now ?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['6'],['6'],math,Joan's cat had 8 kittens. She gave 2 to her friends.  How many kittens does she have now ?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(8-2-x)
print(answer)",6,test,singleq,Joan's cat had (9-(0.5*2))  kittens. She gave 2 to her friends.  How many kittens does she have now ?,Joan's cat had EXPONENTIAL(LOG(8))  kittens. She gave 2 to her friends.  How many kittens does she have now ?,Joan's cat had (8/(sec^2(49)-tan^2(49)))  kittens. She gave 2 to her friends.  How many kittens does she have now ?
consensus,"Solve the following math word problem.

Joan has 8 orange balloons  but lost 2 of them. How many orange balloons does Joan have now ?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Joan has 8 orange balloons  but lost 2 of them. How many orange balloons does Joan have now ?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['6'],['6'],math,Joan has 8 orange balloons  but lost 2 of them. How many orange balloons does Joan have now ?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(8-2-x)
print(answer)",6,test,singleq,Joan has (8.0*(0.5*2))  orange balloons  but lost 2 of them. How many orange balloons does Joan have now ?,Joan has EXPONENTIAL(LOG(8))  orange balloons  but lost 2 of them. How many orange balloons does Joan have now ?,Joan has (8.0*(sec^2(94)-tan^2(94)))  orange balloons  but lost 2 of them. How many orange balloons does Joan have now ?
consensus,"Solve the following math word problem.

Sally earns $12.50 an hour cleaning houses. If she works for 12 hours, how much money will she make ?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Sally earns $12.50 an hour cleaning houses. If she works for 12 hours, how much money will she make ?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['150'],['150'],math,"Sally earns $12.50 an hour cleaning houses. If she works for 12 hours, how much money will she make ?","from sympy import symbols, solve
x = symbols(""x"")
answer = solve(12.50*12-x)
print(answer)",150,test,singleq,"Sally earns $12.50 an hour cleaning houses. If she works for (12/(42/42))  hours, how much money will she make ?","Sally earns $12.50 an hour cleaning houses. If she works for EXPONENTIAL(LOG(12))  hours, how much money will she make ?","Sally earns $12.50 an hour cleaning houses. If she works for (13-(cosec^2(38) - cot^2(38)))  hours, how much money will she make ?"
consensus,"Solve the following math word problem.

Jason had Pokemon cards. Jason gave 9 to his friends. Jason now has 4 Pokemon cards left. How many Pokemon cards did Jason have to start with ?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Jason had Pokemon cards. Jason gave 9 to his friends. Jason now has 4 Pokemon cards left. How many Pokemon cards did Jason have to start with ?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['13'],['13'],math,Jason had Pokemon cards. Jason gave 9 to his friends. Jason now has 4 Pokemon cards left. How many Pokemon cards did Jason have to start with ?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(x-9-4)
print(answer)",13,test,singleq,Jason had Pokemon cards. Jason gave (10-(0.5*2))  to his friends. Jason now has 4 Pokemon cards left. How many Pokemon cards did Jason have to start with ?,Jason had Pokemon cards. Jason gave EXPONENTIAL(LOG(9))  to his friends. Jason now has 4 Pokemon cards left. How many Pokemon cards did Jason have to start with ?,Jason had Pokemon cards. Jason gave (10-(cos^2(70) + sin^2(70)))  to his friends. Jason now has 4 Pokemon cards left. How many Pokemon cards did Jason have to start with ?
consensus,"Solve the following math word problem.

Jack has a section filled with short story booklets. If each booklet has 9 pages and there are 49 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Jack has a section filled with short story booklets. If each booklet has 9 pages and there are 49 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['441'],['441'],math,"Jack has a section filled with short story booklets. If each booklet has 9 pages and there are 49 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?","from sympy import symbols, solve
x = symbols(""x"")
answer = solve(9*49-x)
print(answer)",441,test,singleq,"Jack has a section filled with short story booklets. If each booklet has 9 pages and there are (48+(8/8))  booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?","Jack has a section filled with short story booklets. If each booklet has 9 pages and there are EXPONENTIAL(LOG(49))  booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?","Jack has a section filled with short story booklets. If each booklet has 9 pages and there are (48+(sec^2(59)-tan^2(59)))  booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?"
consensus,"Solve the following math word problem.

Justin needs 61 paper plates for a birthday party. He already has 26 blue plates and 7 red plates. How many more plates should Justin buy?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Justin needs 61 paper plates for a birthday party. He already has 26 blue plates and 7 red plates. How many more plates should Justin buy?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['28'],['28'],math,Justin needs 61 paper plates for a birthday party. He already has 26 blue plates and 7 red plates. How many more plates should Justin buy?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(61-(26+7)-x)
print(answer)",28,test,singleq,Justin needs (62-(3/3))  paper plates for a birthday party. He already has 26 blue plates and 7 red plates. How many more plates should Justin buy?,Justin needs EXPONENTIAL(LOG(61))  paper plates for a birthday party. He already has 26 blue plates and 7 red plates. How many more plates should Justin buy?,Justin needs (60+(cosec^2(28) - cot^2(28)))  paper plates for a birthday party. He already has 26 blue plates and 7 red plates. How many more plates should Justin buy?
consensus,"Solve the following math word problem.

Fred has 110 blue marbles. Fred has 22 times more blue marbles than Tim. How many blue marbles does Tim have?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Fred has 110 blue marbles. Fred has 22 times more blue marbles than Tim. How many blue marbles does Tim have?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['5'],['5'],math,Fred has 110 blue marbles. Fred has 22 times more blue marbles than Tim. How many blue marbles does Tim have?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(110/22-x)
print(answer)",5,test,singleq,Fred has (111-(0.5*2))  blue marbles. Fred has 22 times more blue marbles than Tim. How many blue marbles does Tim have?,Fred has EXPONENTIAL(LOG(110))  blue marbles. Fred has 22 times more blue marbles than Tim. How many blue marbles does Tim have?,Fred has (110.0*(cosec^2(37) - cot^2(37)))  blue marbles. Fred has 22 times more blue marbles than Tim. How many blue marbles does Tim have?
consensus,"Solve the following math word problem.

Dan found 56 seashells on the beach, he gave Jessica some of his seashells. He has 22 seashell left. How many seashells did he give to Jessica ?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Dan found 56 seashells on the beach, he gave Jessica some of his seashells. He has 22 seashell left. How many seashells did he give to Jessica ?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['34'],['34'],math,"Dan found 56 seashells on the beach, he gave Jessica some of his seashells. He has 22 seashell left. How many seashells did he give to Jessica ?","from sympy import symbols, solve
x = symbols(""x"")
answer = solve(56-x-22)
print(answer)",34,test,singleq,"Dan found (55+(0.5*2))  seashells on the beach, he gave Jessica some of his seashells. He has 22 seashell left. How many seashells did he give to Jessica ?","Dan found EXPONENTIAL(LOG(56))  seashells on the beach, he gave Jessica some of his seashells. He has 22 seashell left. How many seashells did he give to Jessica ?","Dan found (55+(sec^2(74)-tan^2(74)))  seashells on the beach, he gave Jessica some of his seashells. He has 22 seashell left. How many seashells did he give to Jessica ?"
verified,"Solve the following math word problem.

Carla has some marbles. Carla bought 489 marbles. Now Calra has 2778 marbles all together. How many did Carla start with?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Carla has some marbles. Carla bought 489 marbles. Now Calra has 2778 marbles all together. How many did Carla start with?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['2289'],['2289'],math,Carla has some marbles. Carla bought 489 marbles. Now Calra has 2778 marbles all together. How many did Carla start with?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(489+x-2778)
print(answer)",2289,test,singleq,Carla has some marbles. Carla bought (489.0*(49/49))  marbles. Now Calra has 2778 marbles all together. How many did Carla start with?,Carla has some marbles. Carla bought LOG(EXPONENTIAL(489))  marbles. Now Calra has 2778 marbles all together. How many did Carla start with?,Carla has some marbles. Carla bought (489/(cosec^2(73) - cot^2(73)))  marbles. Now Calra has 2778 marbles all together. How many did Carla start with?
consensus,"Solve the following math word problem.

Mary had 8 potatoes in the garden. The rabbits ate 3 of the potatoes. How many potatoes does Mary now have ?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Mary had 8 potatoes in the garden. The rabbits ate 3 of the potatoes. How many potatoes does Mary now have ?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['5'],['5'],math,Mary had 8 potatoes in the garden. The rabbits ate 3 of the potatoes. How many potatoes does Mary now have ?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(8-3-x)
print(answer)",5,test,singleq,Mary had 8 potatoes in the garden. The rabbits ate (2+(0.5*2))  of the potatoes. How many potatoes does Mary now have ?,Mary had 8 potatoes in the garden. The rabbits ate LOG(EXPONENTIAL(3))  of the potatoes. How many potatoes does Mary now have ?,Mary had 8 potatoes in the garden. The rabbits ate (2+(cos^2(95) + sin^2(95)))  of the potatoes. How many potatoes does Mary now have ?
consensus,"Solve the following math word problem.

A group of science students went on a field trip. They took 6 vans and 8 buses. There were 6 people in each van and 18 people in each bus. How many people went on the field trip?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

A group of science students went on a field trip. They took 6 vans and 8 buses. There were 6 people in each van and 18 people in each bus. How many people went on the field trip?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['180'],['180'],math,A group of science students went on a field trip. They took 6 vans and 8 buses. There were 6 people in each van and 18 people in each bus. How many people went on the field trip?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve((6*6)+(8*18)-x)
print(answer)",180,test,singleq,A group of science students went on a field trip. They took (6/(0.5*2))  vans and 8 buses. There were 6 people in each van and 18 people in each bus. How many people went on the field trip?,A group of science students went on a field trip. They took EXPONENTIAL(LOG(6))  vans and 8 buses. There were 6 people in each van and 18 people in each bus. How many people went on the field trip?,A group of science students went on a field trip. They took (6.0*(cos^2(18) + sin^2(18)))  vans and 8 buses. There were 6 people in each van and 18 people in each bus. How many people went on the field trip?
consensus,"Solve the following math word problem.

The value of a sport utility vehicle this year is 16,000 dollars , which is 0.8 of what its value was last year. How much is the value of the vehicle last year?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

The value of a sport utility vehicle this year is 16,000 dollars , which is 0.8 of what its value was last year. How much is the value of the vehicle last year?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['20000'],['20000'],math,"The value of a sport utility vehicle this year is 16,000 dollars , which is 0.8 of what its value was last year. How much is the value of the vehicle last year?","from sympy import symbols, solve
x = symbols(""x"")
answer = solve(16000.0/0.8-x)
print(answer)",20000,test,singleq,"The value of a sport utility vehicle this year is (16000.0*(0.5*2))  dollars , which is 0.8 of what its value was last year. How much is the value of the vehicle last year?","The value of a sport utility vehicle this year is LOG(EXPONENTIAL(16000))  dollars , which is 0.8 of what its value was last year. How much is the value of the vehicle last year?","The value of a sport utility vehicle this year is (16000.0*(cos^2(9) + sin^2(9)))  dollars , which is 0.8 of what its value was last year. How much is the value of the vehicle last year?"
consensus,"Solve the following math word problem.

There are 96 cupcakes for 8 children to share. How much will each person get if they share the cupcakes equally?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

There are 96 cupcakes for 8 children to share. How much will each person get if they share the cupcakes equally?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['12'],['12'],math,There are 96 cupcakes for 8 children to share. How much will each person get if they share the cupcakes equally?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(96/8-x)
print(answer)",12,test,singleq,There are 96 cupcakes for (7+(77/77))  children to share. How much will each person get if they share the cupcakes equally?,There are 96 cupcakes for EXPONENTIAL(LOG(8))  children to share. How much will each person get if they share the cupcakes equally?,There are 96 cupcakes for (8.0*(cosec^2(80) - cot^2(80)))  children to share. How much will each person get if they share the cupcakes equally?
consensus,"Solve the following math word problem.

Nancy has saved 4900 cents from selling lemonade.  How many dollars does Nancy have?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Nancy has saved 4900 cents from selling lemonade.  How many dollars does Nancy have?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['49'],['49'],math,Nancy has saved 4900 cents from selling lemonade.  How many dollars does Nancy have?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(4900/100-x)
print(answer)",49,test,singleq,Nancy has saved (4900.0*(0.5*2))  cents from selling lemonade.  How many dollars does Nancy have?,Nancy has saved EXPONENTIAL(LOG(4900))  cents from selling lemonade.  How many dollars does Nancy have?,Nancy has saved (4899+(cosec^2(92) - cot^2(92)))  cents from selling lemonade.  How many dollars does Nancy have?
consensus,"Solve the following math word problem.

Nancy has 9 five dollars bills.  How much money does she have ?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Nancy has 9 five dollars bills.  How much money does she have ?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['45'],['45'],math,Nancy has 9 five dollars bills.  How much money does she have ?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(9*5-x)
print(answer)",45,test,singleq,Nancy has (10-(0.5*2))  five dollars bills.  How much money does she have ?,Nancy has EXPONENTIAL(LOG(9))  five dollars bills.  How much money does she have ?,Nancy has (9/(sec^2(76)-tan^2(76)))  five dollars bills.  How much money does she have ?
