cleaning_status,platinum_prompt,platinum_prompt_no_cot,platinum_target,original_target,platinum_parsing_strategy,input,output_program,output_answer,split,dataset,bodmas_question,elog_question,trigno_question
consensus,"Solve the following math word problem.

Harold has 53 marbles. He gets 16 more from Steve. How many marbles does Harold have in all?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Harold has 53 marbles. He gets 16 more from Steve. How many marbles does Harold have in all?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['69'],['69'],math,Harold has 53 marbles. He gets 16 more from Steve. How many marbles does Harold have in all?,"answer=(53.0+16.0)
print(answer)",69,test,singleop,Harold has (53.0*(48/48))  marbles. He gets 16 more from Steve. How many marbles does Harold have in all?,Harold has LOG(EXPONENTIAL(53))  marbles. He gets 16 more from Steve. How many marbles does Harold have in all?,Harold has (53/(cos^2(65) + sin^2(65)))  marbles. He gets 16 more from Steve. How many marbles does Harold have in all?
consensus,"Solve the following math word problem.

 Kate has 223 pennies. John has 388 pennies. How many more pennies does John have?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 Kate has 223 pennies. John has 388 pennies. How many more pennies does John have?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['165'],['165'],math, Kate has 223 pennies. John has 388 pennies. How many more pennies does John have?,"answer=(388.0-223.0)
print(answer)",165,test,singleop, Kate has (224-(0.5*2))  pennies. John has 388 pennies. How many more pennies does John have?, Kate has EXPONENTIAL(LOG(223))  pennies. John has 388 pennies. How many more pennies does John have?, Kate has (223/(cosec^2(17) - cot^2(17)))  pennies. John has 388 pennies. How many more pennies does John have?
consensus,"Solve the following math word problem.

Roger has 92 blocks. 2 are eaten by a hippopotamus. How many blocks will Roger have?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Roger has 92 blocks. 2 are eaten by a hippopotamus. How many blocks will Roger have?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['90'],['90'],math,Roger has 92 blocks. 2 are eaten by a hippopotamus. How many blocks will Roger have?,"answer=(92.0-2.0)
print(answer)",90,test,singleop,Roger has (92/(54/54))  blocks. 2 are eaten by a hippopotamus. How many blocks will Roger have?,Roger has EXPONENTIAL(LOG(92))  blocks. 2 are eaten by a hippopotamus. How many blocks will Roger have?,Roger has (92/(cos^2(9) + sin^2(9)))  blocks. 2 are eaten by a hippopotamus. How many blocks will Roger have?
consensus,"Solve the following math word problem.

 Sean has 223 whistles. He has 95 more whistles that Charles. How many whistles does Charles have?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 Sean has 223 whistles. He has 95 more whistles that Charles. How many whistles does Charles have?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['128'],['128'],math, Sean has 223 whistles. He has 95 more whistles that Charles. How many whistles does Charles have?,"answer=(223.0-95.0)
print(answer)",128,test,singleop, Sean has (223/(0.5*2))  whistles. He has 95 more whistles that Charles. How many whistles does Charles have?, Sean has LOG(EXPONENTIAL(223))  whistles. He has 95 more whistles that Charles. How many whistles does Charles have?, Sean has (223.0*(cos^2(52) + sin^2(52)))  whistles. He has 95 more whistles that Charles. How many whistles does Charles have?
consensus,"Solve the following math word problem.

There are 7 students in the class and 42 apples. If the apples are divided equally among the students, how many does each student get?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

There are 7 students in the class and 42 apples. If the apples are divided equally among the students, how many does each student get?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['6'],['6'],math,"There are 7 students in the class and 42 apples. If the apples are divided equally among the students, how many does each student get?","answer=(42.0/7.0)
print(answer)",6,test,singleop,"There are (6+(0.5*2))  students in the class and 42 apples. If the apples are divided equally among the students, how many does each student get?","There are LOG(EXPONENTIAL(7))  students in the class and 42 apples. If the apples are divided equally among the students, how many does each student get?","There are (6+(cos^2(86) + sin^2(86)))  students in the class and 42 apples. If the apples are divided equally among the students, how many does each student get?"
consensus,"Solve the following math word problem.

 There are 124 students making 3 stars each for the school wall. How many stars will they make all together?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 There are 124 students making 3 stars each for the school wall. How many stars will they make all together?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['372'],['372'],math, There are 124 students making 3 stars each for the school wall. How many stars will they make all together?,"answer=(124.0*3.0)
print(answer)",372,test,singleop, There are (124/(0.5*2))  students making 3 stars each for the school wall. How many stars will they make all together?, There are LOG(EXPONENTIAL(124))  students making 3 stars each for the school wall. How many stars will they make all together?, There are (123+(cos^2(86) + sin^2(86)))  students making 3 stars each for the school wall. How many stars will they make all together?
consensus,"Solve the following math word problem.

 Darius drove 679 miles to visit his grandmother. Julia drove 998 miles to visit her grandmother. What is the total number of miles Darius and Julia  drove?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 Darius drove 679 miles to visit his grandmother. Julia drove 998 miles to visit her grandmother. What is the total number of miles Darius and Julia  drove?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['1677'],['1677'],math, Darius drove 679 miles to visit his grandmother. Julia drove 998 miles to visit her grandmother. What is the total number of miles Darius and Julia  drove?,"answer=(679.0+998.0)
print(answer)",1677,test,singleop, Darius drove 679 miles to visit his grandmother. Julia drove (999-(44/44))  miles to visit her grandmother. What is the total number of miles Darius and Julia  drove?, Darius drove 679 miles to visit his grandmother. Julia drove EXPONENTIAL(LOG(998))  miles to visit her grandmother. What is the total number of miles Darius and Julia  drove?, Darius drove 679 miles to visit his grandmother. Julia drove (997+(cosec^2(7) - cot^2(7)))  miles to visit her grandmother. What is the total number of miles Darius and Julia  drove?
consensus,"Solve the following math word problem.

There are 4 cards. 3 cards more are added. How many are there total?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

There are 4 cards. 3 cards more are added. How many are there total?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['7'],['7'],math,There are 4 cards. 3 cards more are added. How many are there total?,"answer=(4.0+3.0)
print(answer)",7,test,singleop,There are 4 cards. (4-(0.5*2))  cards more are added. How many are there total?,There are 4 cards. EXPONENTIAL(LOG(3))  cards more are added. How many are there total?,There are 4 cards. (2+(cosec^2(78) - cot^2(78)))  cards more are added. How many are there total?
consensus,"Solve the following math word problem.

 Mary’s mom is getting ready for Mary’s birthday party. She blew up 6 balloons this morning and 5 balloons this afternoon. How many balloons  did she blow up in all?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 Mary’s mom is getting ready for Mary’s birthday party. She blew up 6 balloons this morning and 5 balloons this afternoon. How many balloons  did she blow up in all?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['11'],['11'],math, Mary’s mom is getting ready for Mary’s birthday party. She blew up 6 balloons this morning and 5 balloons this afternoon. How many balloons  did she blow up in all?,"answer=(6.0+5.0)
print(answer)",11,test,singleop, Mary’s mom is getting ready for Mary’s birthday party. She blew up (7-(48/48))  balloons this morning and 5 balloons this afternoon. How many balloons  did she blow up in all?, Mary’s mom is getting ready for Mary’s birthday party. She blew up EXPONENTIAL(LOG(6))  balloons this morning and 5 balloons this afternoon. How many balloons  did she blow up in all?, Mary’s mom is getting ready for Mary’s birthday party. She blew up (6/(cos^2(24) + sin^2(24)))  balloons this morning and 5 balloons this afternoon. How many balloons  did she blow up in all?
verified,"Solve the following math word problem.

Shirley sold 20 boxes of Do-Si-Dos. How many cases of 4 boxes, plus extra boxes does Shirley need to deliver?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Shirley sold 20 boxes of Do-Si-Dos. How many cases of 4 boxes, plus extra boxes does Shirley need to deliver?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['5'],['5'],math,"Shirley sold 20 boxes of Do-Si-Dos. How many cases of 4 boxes, plus extra boxes does Shirley need to deliver?","answer=(20.0/4.0)
print(answer)",5,test,singleop,"Shirley sold 20 boxes of Do-Si-Dos. How many cases of (3+(0.5*2))  boxes, plus extra boxes does Shirley need to deliver?","Shirley sold 20 boxes of Do-Si-Dos. How many cases of EXPONENTIAL(LOG(4))  boxes, plus extra boxes does Shirley need to deliver?","Shirley sold 20 boxes of Do-Si-Dos. How many cases of (5-(cosec^2(57) - cot^2(57)))  boxes, plus extra boxes does Shirley need to deliver?"
verified,"Solve the following math word problem.

There are 8 oranges. 8 oranges more are added. How many are there total?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

There are 8 oranges. 8 oranges more are added. How many are there total?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['16'],['16'],math,There are 8 oranges. 8 oranges more are added. How many are there total?,"answer=(8.0+8.0)
print(answer)",16,test,singleop,There are (8.0*(20/20))  oranges. 8 oranges more are added. How many are there total?,There are LOG(EXPONENTIAL(8))  oranges. 8 oranges more are added. How many are there total?,There are (8.0*(sec^2(12)-tan^2(12)))  oranges. 8 oranges more are added. How many are there total?
verified,"Solve the following math word problem.

Anna collects 6 blocks. Anna's father gives Anna 8 more. How many blocks does Anna have?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Anna collects 6 blocks. Anna's father gives Anna 8 more. How many blocks does Anna have?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['14'],['14'],math,Anna collects 6 blocks. Anna's father gives Anna 8 more. How many blocks does Anna have?,"answer=(6.0+8.0)
print(answer)",14,test,singleop,Anna collects 6 blocks. Anna's father gives Anna (7+(37/37))  more. How many blocks does Anna have?,Anna collects 6 blocks. Anna's father gives Anna LOG(EXPONENTIAL(8))  more. How many blocks does Anna have?,Anna collects 6 blocks. Anna's father gives Anna (8/(sec^2(93)-tan^2(93)))  more. How many blocks does Anna have?
verified,"Solve the following math word problem.

 63 people are going to the zoo. There are 3 cars to take people to the zoo. How many will go in each car if the same number go in each car?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 63 people are going to the zoo. There are 3 cars to take people to the zoo. How many will go in each car if the same number go in each car?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['21'],['21'],math, 63 people are going to the zoo. There are 3 cars to take people to the zoo. How many will go in each car if the same number go in each car?,"answer=(63.0/3.0)
print(answer)",21,test,singleop, 63 people are going to the zoo. There are (2+(0.5*2))  cars to take people to the zoo. How many will go in each car if the same number go in each car?, 63 people are going to the zoo. There are LOG(EXPONENTIAL(3))  cars to take people to the zoo. How many will go in each car if the same number go in each car?, 63 people are going to the zoo. There are (3.0*(sec^2(4)-tan^2(4)))  cars to take people to the zoo. How many will go in each car if the same number go in each car?
verified,"Solve the following math word problem.

Debra removes 22 apples from a jar. There were originally 57 apples in the jar. How many apples are left in the jar?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Debra removes 22 apples from a jar. There were originally 57 apples in the jar. How many apples are left in the jar?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['35'],['35'],math,Debra removes 22 apples from a jar. There were originally 57 apples in the jar. How many apples are left in the jar?,"answer=(57.0-22.0)
print(answer)",35,test,singleop,Debra removes (22/(81/81))  apples from a jar. There were originally 57 apples in the jar. How many apples are left in the jar?,Debra removes LOG(EXPONENTIAL(22))  apples from a jar. There were originally 57 apples in the jar. How many apples are left in the jar?,Debra removes (21+(sec^2(61)-tan^2(61)))  apples from a jar. There were originally 57 apples in the jar. How many apples are left in the jar?
consensus,"Solve the following math word problem.

 Connie has 41 red markers and 64 blue markers. How many markers does she have altogether?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 Connie has 41 red markers and 64 blue markers. How many markers does she have altogether?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['105'],['105'],math, Connie has 41 red markers and 64 blue markers. How many markers does she have altogether?,"answer=(41.0+64.0)
print(answer)",105,test,singleop, Connie has 41 red markers and (64.0*(6/6))  blue markers. How many markers does she have altogether?, Connie has 41 red markers and LOG(EXPONENTIAL(64))  blue markers. How many markers does she have altogether?, Connie has 41 red markers and (65-(sec^2(56)-tan^2(56)))  blue markers. How many markers does she have altogether?
consensus,"Solve the following math word problem.

Tina has 82 bananas. She gets 3 more from Joyce. How many bananas does Tina have in all?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Tina has 82 bananas. She gets 3 more from Joyce. How many bananas does Tina have in all?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['85'],['85'],math,Tina has 82 bananas. She gets 3 more from Joyce. How many bananas does Tina have in all?,"answer=(82.0+3.0)
print(answer)",85,test,singleop,Tina has 82 bananas. She gets (2+(0.5*2))  more from Joyce. How many bananas does Tina have in all?,Tina has 82 bananas. She gets EXPONENTIAL(LOG(3))  more from Joyce. How many bananas does Tina have in all?,Tina has 82 bananas. She gets (3.0*(cos^2(16) + sin^2(16)))  more from Joyce. How many bananas does Tina have in all?
consensus,"Solve the following math word problem.

Kenneth has 3 marbles. He buys 6 more. Later, Kenneth buys 15 apples at the store. How many marbles does Kenneth have in all?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Kenneth has 3 marbles. He buys 6 more. Later, Kenneth buys 15 apples at the store. How many marbles does Kenneth have in all?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['9'],['9'],math,"Kenneth has 3 marbles. He buys 6 more. Later, Kenneth buys 15 apples at the store. How many marbles does Kenneth have in all?","answer=(3.0+6.0)
print(answer)",9,test,singleop,"Kenneth has 3 marbles. He buys (7-(0.5*2))  more. Later, Kenneth buys 15 apples at the store. How many marbles does Kenneth have in all?","Kenneth has 3 marbles. He buys LOG(EXPONENTIAL(6))  more. Later, Kenneth buys 15 apples at the store. How many marbles does Kenneth have in all?","Kenneth has 3 marbles. He buys (7-(sec^2(28)-tan^2(28)))  more. Later, Kenneth buys 15 apples at the store. How many marbles does Kenneth have in all?"
consensus,"Solve the following math word problem.

 Your class had a pizza party. 0.375 of a pizza was left over, and 0.5 of another pizza was left over. You put them both into one box. How much  pizza do you have altogether?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 Your class had a pizza party. 0.375 of a pizza was left over, and 0.5 of another pizza was left over. You put them both into one box. How much  pizza do you have altogether?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['0.875'],['0.875'],math," Your class had a pizza party. 0.375 of a pizza was left over, and 0.5 of another pizza was left over. You put them both into one box. How much  pizza do you have altogether?","answer=(0.375+0.5)
print(answer)",0.875,test,singleop,,,
consensus,"Solve the following math word problem.

Donald has 4 oranges. He finds another 5. How many oranges does Donald have in all?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Donald has 4 oranges. He finds another 5. How many oranges does Donald have in all?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['9'],['9'],math,Donald has 4 oranges. He finds another 5. How many oranges does Donald have in all?,"answer=(4.0+5.0)
print(answer)",9,test,singleop,Donald has (4/(4/4))  oranges. He finds another 5. How many oranges does Donald have in all?,Donald has EXPONENTIAL(LOG(4))  oranges. He finds another 5. How many oranges does Donald have in all?,Donald has (4/(cosec^2(76) - cot^2(76)))  oranges. He finds another 5. How many oranges does Donald have in all?
consensus,"Solve the following math word problem.

If Benjamin skated 80 kilometers at 10 kilometers per hour, how long was Benjamin skating?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

If Benjamin skated 80 kilometers at 10 kilometers per hour, how long was Benjamin skating?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['8'],['8'],math,"If Benjamin skated 80 kilometers at 10 kilometers per hour, how long was Benjamin skating?","answer=(80.0/10.0)
print(answer)",8,test,singleop,"If Benjamin skated (80.0*(0.5*2))  kilometers at 10 kilometers per hour, how long was Benjamin skating?","If Benjamin skated LOG(EXPONENTIAL(80))  kilometers at 10 kilometers per hour, how long was Benjamin skating?","If Benjamin skated (81-(sec^2(89)-tan^2(89)))  kilometers at 10 kilometers per hour, how long was Benjamin skating?"
consensus,"Solve the following math word problem.

Each child has 2 candies. If there are 9 children, how many candies are there in total?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Each child has 2 candies. If there are 9 children, how many candies are there in total?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['18'],['18'],math,"Each child has 2 candies. If there are 9 children, how many candies are there in total?","answer=(2.0*9.0)
print(answer)",18,test,singleop,"Each child has 2 candies. If there are (10-(0.5*2))  children, how many candies are there in total?","Each child has 2 candies. If there are EXPONENTIAL(LOG(9))  children, how many candies are there in total?","Each child has 2 candies. If there are (9/(cosec^2(14) - cot^2(14)))  children, how many candies are there in total?"
consensus,"Solve the following math word problem.

 On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week. How many stickers did Pat have at the end of the  week?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week. How many stickers did Pat have at the end of the  week?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['61'],['61'],math, On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week. How many stickers did Pat have at the end of the  week?,"answer=(39.0+22.0)
print(answer)",61,test,singleop, On the first day of the week Pat had (40-(40/40))  stickers. Pat earned 22 more during the week. How many stickers did Pat have at the end of the  week?, On the first day of the week Pat had EXPONENTIAL(LOG(39))  stickers. Pat earned 22 more during the week. How many stickers did Pat have at the end of the  week?, On the first day of the week Pat had (38+(cos^2(1) + sin^2(1)))  stickers. Pat earned 22 more during the week. How many stickers did Pat have at the end of the  week?
